Date,Predicted Close
2010-05-27,90.40205
2010-05-28,90.28219
2010-06-01,90.20414
2010-06-02,90.16847
2010-06-03,90.177505
2010-06-04,90.2279
2010-06-07,90.29289
2010-06-08,90.33645
2010-06-09,90.33838
2010-06-10,90.2948
2010-06-11,90.22171
2010-06-14,90.15805
2010-06-15,90.128975
2010-06-16,90.14637
2010-06-17,90.20929
2010-06-18,90.29573
2010-06-21,90.38117
2010-06-22,90.44047
2010-06-23,90.45847
2010-06-24,90.432434
2010-06-25,90.3662
2010-06-28,90.27472
2010-06-29,90.174355
2010-06-30,90.06855
2010-07-01,89.95707
2010-07-02,89.8501
2010-07-06,89.76295
2010-07-07,89.713936
2010-07-08,89.71493
2010-07-09,89.76182
2010-07-12,89.83797
2010-07-13,89.92609
2010-07-14,90.015144
2010-07-15,90.09889
2010-07-16,90.17345
2010-07-19,90.22723
2010-07-20,90.25557
2010-07-21,90.2662
2010-07-22,90.264015
2010-07-23,90.260826
2010-07-26,90.26734
2010-07-27,90.28791
2010-07-28,90.32114
2010-07-29,90.35691
2010-07-30,90.38514
2010-08-02,90.39818
2010-08-03,90.40009
2010-08-04,90.39816
2010-08-05,90.39098
2010-08-06,90.37235
2010-08-09,90.34271
2010-08-10,90.30923
2010-08-11,90.272964
2010-08-12,90.23172
2010-08-13,90.182755
2010-08-16,90.12619
2010-08-17,90.07093
2010-08-18,90.03165
2010-08-19,90.016884
2010-08-20,90.02262
2010-08-23,90.03547
2010-08-24,90.04452
2010-08-25,90.04221
2010-08-26,90.0277
2010-08-27,90.00206
2010-08-30,89.973
2010-08-31,89.945206
2010-09-01,89.91862
2010-09-02,89.89957
2010-09-03,89.89389
2010-09-07,89.90481
2010-09-08,89.92824
2010-09-09,89.953705
2010-09-10,89.97408
2010-09-13,89.98444
2010-09-14,89.99856
2010-09-15,90.03052
2010-09-16,90.080536
2010-09-17,90.14282
2010-09-20,90.20507
2010-09-21,90.2568
2010-09-22,90.28924
2010-09-23,90.292015
2010-09-24,90.26109
2010-09-27,90.20909
2010-09-28,90.156975
2010-09-29,90.118385
2010-09-30,90.0947
2010-10-01,90.08227
2010-10-04,90.07524
2010-10-05,90.0627
2010-10-06,90.04361
2010-10-07,90.025795
2010-10-08,90.01691
2010-10-11,90.02119
2010-10-12,90.037476
2010-10-13,90.063286
2010-10-14,90.100235
2010-10-15,90.14535
2010-10-18,90.1941
2010-10-19,90.245094
2010-10-20,90.28601
2010-10-21,90.307304
2010-10-22,90.31079
2010-10-25,90.30219
2010-10-26,90.28612
2010-10-27,90.27529
2010-10-28,90.28219
2010-10-29,90.31079
2010-11-01,90.3606
2010-11-02,90.42684
2010-11-03,90.50401
2010-11-04,90.57855
2010-11-05,90.636856
2010-11-08,90.66912
2010-11-09,90.67238
2010-11-10,90.65465
2010-11-11,90.628105
2010-11-12,90.59983
2010-11-15,90.56844
2010-11-16,90.53163
2010-11-17,90.48832
2010-11-18,90.43812
2010-11-19,90.38849
2010-11-22,90.3476
2010-11-23,90.32027
2010-11-24,90.300545
2010-11-26,90.28343
2010-11-29,90.26757
2010-11-30,90.25331
2010-12-01,90.242165
2010-12-02,90.244644
2010-12-03,90.27892
2010-12-06,90.350945
2010-12-07,90.44612
2010-12-08,90.54125
2010-12-09,90.62079
2010-12-10,90.67537
2010-12-13,90.705635
2010-12-14,90.7178
2010-12-15,90.72327
2010-12-16,90.73464
2010-12-17,90.75816
2010-12-20,90.79042
2010-12-21,90.8213
2010-12-22,90.84505
2010-12-23,90.861626
2010-12-27,90.87398
2010-12-28,90.88191
2010-12-29,90.88352
2010-12-30,90.87818
2010-12-31,90.865654
2011-01-03,90.848305
2011-01-04,90.831154
2011-01-05,90.819695
2011-01-06,90.81553
2011-01-07,90.82731
2011-01-10,90.85705
2011-01-11,90.89162
2011-01-12,90.9159
2011-01-13,90.92759
2011-01-14,90.92689
2011-01-18,90.91679
2011-01-19,90.90818
2011-01-20,90.90703
2011-01-21,90.9112
2011-01-24,90.91209
2011-01-25,90.907616
2011-01-26,90.90184
2011-01-27,90.90245
2011-01-28,90.91558
2011-01-31,90.92624
2011-02-01,90.917946
2011-02-02,90.89114
2011-02-03,90.8546
2011-02-04,90.815094
2011-02-07,90.78012
2011-02-08,90.76129
2011-02-09,90.76542
2011-02-10,90.78559
2011-02-11,90.80358
2011-02-14,90.80231
2011-02-15,90.776695
2011-02-16,90.73235
2011-02-17,90.682076
2011-02-18,90.64185
2011-02-22,90.62002
2011-02-23,90.61009
2011-02-24,90.602036
2011-02-25,90.592606
2011-02-28,90.57986
2011-03-01,90.56431
2011-03-02,90.54418
2011-03-03,90.51797
2011-03-04,90.490166
2011-03-07,90.463745
2011-03-08,90.437546
2011-03-09,90.41382
2011-03-10,90.396164
2011-03-11,90.380196
2011-03-14,90.36457
2011-03-15,90.35224
2011-03-16,90.341385
2011-03-17,90.322525
2011-03-18,90.29034
2011-03-21,90.249016
2011-03-22,90.21369
2011-03-23,90.19761
2011-03-24,90.20647
2011-03-25,90.24064
2011-03-28,90.28966
2011-03-29,90.33568
2011-03-30,90.36616
2011-03-31,90.3791
2011-04-01,90.37638
2011-04-04,90.363976
2011-04-05,90.350555
2011-04-06,90.34506
2011-04-07,90.35607
2011-04-08,90.38512
2011-04-11,90.423584
2011-04-12,90.458595
2011-04-13,90.476425
2011-04-14,90.47092
2011-04-15,90.44385
2011-04-18,90.40277
2011-04-19,90.35538
2011-04-20,90.309814
2011-04-21,90.28107
2011-04-25,90.27543
2011-04-26,90.2888
2011-04-27,90.32025
2011-04-28,90.368
2011-04-29,90.42847
2011-05-02,90.48454
2011-05-03,90.51522
2011-05-04,90.514755
2011-05-05,90.493484
2011-05-06,90.46334
2011-05-09,90.43466
2011-05-10,90.414375
2011-05-11,90.40199
2011-05-12,90.39006
2011-05-13,90.372086
2011-05-16,90.34391
2011-05-17,90.30105
2011-05-18,90.24717
