Date,Predicted_Close
2010-05-27,46.996666
2010-05-28,47.000587
2010-06-01,47.020905
2010-06-02,47.054234
2010-06-03,47.09524
2010-06-04,47.136406
2010-06-07,47.167038
2010-06-08,47.177975
2010-06-09,47.167305
2010-06-10,47.13779
2010-06-11,47.10059
2010-06-14,47.070114
2010-06-15,47.055187
2010-06-16,47.059544
2010-06-17,47.083897
2010-06-18,47.124878
2010-06-21,47.17501
2010-06-22,47.222607
2010-06-23,47.259533
2010-06-24,47.281666
2010-06-25,47.287865
2010-06-28,47.28015
2010-06-29,47.264168
2010-06-30,47.24053
2010-07-01,47.207283
2010-07-02,47.165455
2010-07-06,47.119164
2010-07-07,47.07578
2010-07-08,47.047203
2010-07-09,47.040443
2010-07-12,47.054188
2010-07-13,47.080173
2010-07-14,47.105103
2010-07-15,47.11944
2010-07-16,47.120266
2010-07-19,47.10946
2010-07-20,47.09031
2010-07-21,47.070633
2010-07-22,47.059143
2010-07-23,47.061634
2010-07-26,47.07844
2010-07-27,47.103798
2010-07-28,47.132114
2010-07-29,47.157177
2010-07-30,47.172554
2010-08-02,47.17567
2010-08-03,47.170757
2010-08-04,47.164288
2010-08-05,47.16114
2010-08-06,47.162598
2010-08-09,47.16622
2010-08-10,47.1697
2010-08-11,47.170544
2010-08-12,47.162838
2010-08-13,47.144863
2010-08-16,47.119427
2010-08-17,47.090836
2010-08-18,47.066475
2010-08-19,47.05272
2010-08-20,47.049618
2010-08-23,47.053204
2010-08-24,47.05712
2010-08-25,47.05365
2010-08-26,47.04124
2010-08-27,47.022717
2010-08-30,47.003162
2010-08-31,46.988365
2010-09-01,46.981792
2010-09-02,46.987034
2010-09-03,47.004982
2010-09-07,47.034637
2010-09-08,47.071228
2010-09-09,47.109634
2010-09-10,47.145317
2010-09-13,47.17423
2010-09-14,47.19598
2010-09-15,47.212276
2010-09-16,47.225563
2010-09-17,47.240417
2010-09-20,47.258385
2010-09-21,47.281
2010-09-22,47.307976
2010-09-23,47.337368
2010-09-24,47.366566
2010-09-27,47.393692
2010-09-28,47.416397
2010-09-29,47.430202
2010-09-30,47.433067
2010-10-01,47.42486
2010-10-04,47.40737
2010-10-05,47.383045
2010-10-06,47.36082
2010-10-07,47.349243
2010-10-08,47.35041
2010-10-11,47.363945
2010-10-12,47.38669
2010-10-13,47.414364
2010-10-14,47.442944
2010-10-15,47.46954
