Price,Close,High,Low,Open,Volume
Ticker,BA,BA,BA,BA,BA
Date,,,,,
2000-01-03,25.940296173095703,26.90851873632167,25.698240532289212,26.747148309117346,2638200
2000-01-04,25.899932861328125,26.54541405413381,25.657877414025993,25.940275435878483,3592100
2000-01-05,27.513648986816406,27.95741751886183,26.706797110370175,26.706797110370175,7631700
2000-01-06,27.796051025390625,28.038106622128424,26.54543044224533,27.513652829196527,4922200
2000-01-07,28.602890014648438,28.965973244735654,28.19946420344042,28.19946420344042,6008300
2000-01-10,28.1994686126709,28.723922249244175,28.078440850384755,28.602894486958036,2403500
2000-01-11,27.675010681152344,28.360834561005973,27.594325518816625,28.19946423633453,2450000
2000-01-12,27.796051025390625,28.522217815604026,27.432967630283926,27.675023227021725,2327800
2000-01-13,27.352266311645508,27.997747522539797,27.110210857560148,27.79603464413533,3035100
2000-01-14,28.401180267333984,28.562550609762017,27.71535631201484,27.71535631201484,3834900
2000-01-18,29.046653747558594,29.046653747558597,27.836376508076988,28.401172553168404,5859800
2000-01-19,30.741050720214844,31.063791410190852,29.208032442828802,29.208032442828802,11463600
2000-01-20,30.014877319335938,30.902414014262536,29.53076639483052,30.741043706094064,8941100
2000-01-21,29.490428924560547,30.29728060512308,29.046660500251157,30.014882516926196,4392500
2000-01-24,28.602890014648438,29.81316744827249,28.159121622319617,29.490426799306075,3306200
2000-01-25,29.490428924560547,29.692141844701183,28.88529016413865,28.88529016413865,5057200
2000-01-26,29.813180923461914,30.014893920237707,29.04667153571391,29.49044012862065,3090100
2000-01-27,29.086992263793945,30.25692676538899,28.96596455673239,29.813158506163283,3339100
2000-01-28,28.804611206054688,29.45009268966376,28.723926020603557,29.087009355133656,2288100
2000-01-31,28.72392463684082,28.7642672276229,28.360841319802102,28.7642672276229,2411800
2000-02-01,28.239803314208984,28.522201347351075,27.957405281066897,28.522201347351075,2675800
2000-02-02,28.804611206054688,29.16769454058479,27.99775935154335,28.239814907896754,3295500
2000-02-03,28.0380916595459,29.086998685658408,27.83637876990888,28.80460064016658,2889100
2000-02-04,28.401180267333984,28.52220802415501,27.473300798372787,28.038096996870905,2927200
2000-02-07,26.989181518554688,28.3204864365103,26.908496372011925,28.3204864365103,3029400
2000-02-08,26.46474266052246,27.150566784346974,25.819261132217033,26.98919640227062,5102700
2000-02-09,25.260026931762695,26.069643179575603,24.855218807856243,26.069643179575603,5525000
2000-02-10,25.74580192565918,26.029167670123982,25.098108795453918,25.260032078005235,4060600
2000-02-11,25.826763153076172,26.150609712989354,25.3409933132064,25.745801513097877,3132800
2000-02-14,24.77426528930664,25.705324278937443,24.652822812398274,25.705324278937443,2606300
2000-02-15,24.936182022094727,25.057624467007525,24.207527352617934,24.774258762210994,3961300
2000-02-16,24.12656021118164,24.571849074139692,23.883675376840884,24.571849074139692,3423000
2000-02-17,24.28848648071289,24.531371345520018,23.681274318695067,24.126563237508137,3400500
2000-02-18,23.316946029663086,24.288485447565712,23.235984411504532,24.288485447565712,5559500
2000-02-22,25.179065704345703,25.867239525847115,23.235986678929958,23.316948304988948,4771400
2000-02-23,24.045602798461914,25.057623118262498,24.00512198566989,25.057623118262498,3880800
2000-02-24,23.681270599365234,23.96463623046875,23.23598175048828,23.96463623046875,4210800
2000-02-25,24.49088478088379,24.61232718475594,23.843191960232318,23.843191960232318,3170600
2000-02-28,23.96463966369629,24.369447766123592,23.681273991997177,24.369447766123592,3573300
2000-02-29,23.924150466918945,24.369439223494425,23.39790011823883,23.96463126297126,3513100
2000-03-01,23.51935577392578,23.721759868365762,23.2764708605978,23.721759868365762,2838000
2000-03-02,23.27646255493164,24.086078643798828,22.912135314941406,23.519347381591796,4058200
2000-03-03,23.27646255493164,23.640789794921872,23.114539337158202,23.27646255493164,3884100
2000-03-06,22.750215530395508,23.438389309784696,22.669253909290898,23.276466067575473,2882000
2000-03-07,22.50733184814453,22.750216724203646,22.10252372137934,22.750216724203646,3565000
2000-03-08,21.616764068603516,22.143014879262402,21.616764068603516,22.143014879262402,4134600
2000-03-09,21.859647750854492,22.34541770087348,21.5358011175085,21.616762775844997,3236800
2000-03-10,20.96906280517578,21.98108321083098,20.92858198894957,21.859640762152356,5114300
2000-03-13,21.130979537963867,21.454825967664465,20.726171500838124,20.96905632311357,3422700
2000-03-14,21.414350509643555,21.900120275457773,21.009542371465034,21.13098481291859,3727900
2000-03-15,22.588293075561523,22.993101195195244,21.292907092733625,21.414349528623738,4859300
2000-03-16,23.074066162109375,23.276470251250682,22.466853894685443,22.58829634817023,4725200
2000-03-17,24.612340927124023,25.219553285523464,22.912146323605587,23.074069619178772,15304900
2000-03-20,23.96463966369629,24.409928576366323,23.559831561268986,24.409928576366323,5786400
2000-03-21,23.681270599365234,24.248001861572263,23.438385772705075,23.96463623046875,4165400
2000-03-22,23.478872299194336,24.086084513828673,23.155025784722692,23.681276370739116,3359600
2000-03-23,22.750215530395508,23.276466067575473,22.54781147763398,23.276466067575473,4080400
2000-03-24,23.316946029663086,23.600311693218018,22.993099557028877,22.993099557028877,5797500
2000-03-27,24.045602798461914,24.167045236837986,23.397909793789538,23.397909793789538,2534000
2000-03-28,24.612340927124023,24.73378339880391,23.88368609704469,24.045609392617877,5056400
2000-03-29,24.5313720703125,24.733776130298576,24.16704476233756,24.61233369430693,2731000
2000-03-30,25.01713752746582,25.21954155276894,24.369444646495833,24.53136786673833,3311100
2000-03-31,24.49088478088379,25.138577601535264,24.490884780883793,25.017135197663112,4640100
