Price,Close,High,Low,Open,Volume,Week
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2010-04-15,23.349130630493164,23.409640141936652,23.228110164945633,23.31131128417814,52745400,2010-04-12
2010-04-16,23.19785499572754,23.432329160768145,23.144909356137124,23.288619979782876,88703100,2010-04-12
2010-04-19,23.477706909179688,23.63654379097819,23.265922957454872,23.273486824587202,64970300,2010-04-19
2010-04-20,23.719751358032227,23.78026086893902,23.54578525184722,23.61385863194993,52199500,2010-04-19
2010-04-21,23.697057723999023,23.825640604012808,23.621420481168485,23.697057723999023,55343100,2010-04-19
2010-04-22,23.7424373626709,23.848330070198053,23.371816492976563,23.47770920050372,84847600,2010-04-19
2010-04-23,23.417203903198242,23.886153725608416,23.182729713323475,23.538224375643313,126766600,2010-04-19
2010-04-26,23.530658721923828,23.659241611653595,23.341566321889495,23.447457604257355,63649300,2010-04-26
2010-04-27,23.334003448486328,23.63655101291958,23.258366196712867,23.409640700259786,68730900,2010-04-26
2010-04-28,23.379384994506836,23.44745837617309,23.16003855342936,23.386948863876484,64557900,2010-04-26
2010-04-29,23.44745635986328,23.772695501487057,23.197854462771154,23.39451072148926,52665200,2010-04-26
2010-04-30,23.099531173706055,23.507970058750505,23.084403433570152,23.500406188682554,63214800,2010-04-26
2010-05-03,23.341569900512695,23.49284297813635,23.129785860646688,23.197859250508593,43989500,2010-05-03
2010-05-04,22.789411544799805,23.107086780581874,22.501991780359017,23.08439661973619,82085600,2010-05-03
2010-05-05,22.577638626098633,22.75916720343212,22.456619574542973,22.5171291003208,66833800,2010-05-03
2010-05-06,21.919586181640625,22.60031839397439,21.110271105881353,22.380972004989836,128613000,2010-05-03
2010-05-07,21.337190628051758,21.89690553024809,20.664021990969776,21.881777788532332,173718100,2010-05-03
2010-05-10,21.88933563232422,22.2977744475632,21.715369535814943,21.94228127109034,86653300,2010-05-10
2010-05-11,21.843948364257812,22.426353167880322,21.60947424639869,21.692675344819104,63789400,2010-05-10
2010-05-12,22.26752281188965,22.37341410081951,21.874210249206424,21.919592024081993,47146800,2010-05-10
2010-05-13,22.11624526977539,22.48686617281956,22.07086350112887,22.131373006877702,45188800,2010-05-10
2010-05-14,21.88176918029785,22.093551710360362,21.662421339692777,22.085989285138375,63334000,2010-05-10
2010-05-17,21.88933563232422,22.108682056163932,21.518714718300906,22.025482384957364,46053300,2010-05-17
2010-05-18,21.729782104492188,22.033694847030976,21.57782500863766,21.93492374914472,52690600,2010-05-17
2010-05-19,21.45625877380371,21.798161496760272,21.114357500017338,21.66899840688448,61746700,2010-05-17
2010-05-20,20.59770965576172,21.152350684212358,20.544525098125426,21.007991564077773,87991100,2010-05-17
2010-05-21,20.392568588256836,20.597710273148948,20.088655786104013,20.233013461395007,117596300,2010-05-17
2010-05-24,19.959491729736328,20.407763635367033,19.95189372889185,20.400165634522555,73711700,2010-05-24
2010-05-25,19.807525634765625,20.005069219687275,19.283275407441625,19.48841698976447,98373600,2010-05-24
2010-05-26,19.00217056274414,20.21782349640678,18.660267676999034,19.929105181961827,176684100,2010-05-24
2010-05-27,19.754343032836914,20.027865169333662,19.549201430464354,19.549201430464354,136433600,2010-05-24
2010-05-28,19.602392196655273,19.845523866998104,19.496023087184952,19.632784198887038,67496900,2010-05-24
2010-06-01,19.670772552490234,19.98988132682686,19.389653780557023,19.397251781037706,76152400,2010-05-31
2010-06-02,20.10384750366211,20.119043503918974,19.549206536819657,19.799934744376543,65718800,2010-05-31
2010-06-03,20.40775489807129,20.460939432041922,20.065852252303134,20.1722213202444,67837000,2010-05-31
2010-06-04,19.59479522705078,20.18742476621725,19.4656321186634,19.830327442638215,89832200,2010-05-31
2010-06-07,19.21489715576172,19.625178888887188,19.17690716712147,19.61758089115914,80456200,2010-06-07
2010-06-08,19.078144073486328,19.192111188728404,18.728643277684068,19.18451318782287,87355000,2010-06-07
2010-06-09,18.83501434326172,19.389655381616166,18.804622338829432,19.16171969588561,87794000,2010-06-07
2010-06-10,18.994564056396484,19.108531150900816,18.82741241440148,19.093335151854845,78930900,2010-06-07
2010-06-11,19.49601936340332,19.54160590887341,18.81981338377807,19.024955012148702,68057700,2010-06-07
2010-06-14,19.37445831298828,19.723957649699194,19.351664310918697,19.647980541141486,50972400,2010-06-14
2010-06-15,20.195018768310547,20.248203311380855,19.556801353126637,19.56439935201813,81641500,2010-06-14
2010-06-16,19.997486114501953,20.19502984653529,19.929105536137687,20.111453262052095,48698000,2010-06-14
2010-06-17,20.035465240478516,20.26339941169606,19.784737072471167,20.179822872636905,47995500,2010-06-14
2010-06-18,20.088651657104492,20.157032204680334,19.88351001437697,20.035467108805562,52075600,2010-06-14
2010-06-21,19.716360092163086,20.430554730523234,19.67077209035002,20.34697962554004,54625300,2010-06-21
2010-06-22,19.579593658447266,20.09624594507735,19.571995660212117,19.875908343768057,55985400,2010-06-21
2010-06-23,19.23009490966797,19.587193616601677,19.16171436787939,19.587193616601677,61466200,2010-06-21
2010-06-24,18.994564056396484,19.541606979519422,18.94137950890581,19.34406333943247,85243400,2010-06-21
2010-06-25,18.637468338012695,19.078142203138448,18.470315232818905,19.03255420217449,156256700,2010-06-21
2010-06-28,18.47031021118164,18.69824580652009,18.325952594887575,18.622267274740608,73784800,2010-06-28
2010-06-29,17.71053123474121,18.386738704949728,17.558575590811277,18.3335527079455,119882100,2010-06-28
2010-06-30,17.48259162902832,17.99164584931305,17.437005094886793,17.702927751687195,81050500,2010-06-28
2010-07-01,17.5965633392334,17.718128428516827,17.269856618345365,17.54337879381817,92239400,2010-06-28
2010-07-02,17.680139541625977,17.83969317480399,17.51298646019741,17.748520084179454,62485100,2010-06-28
2010-07-06,18.098012924194336,18.303154479053678,17.91566535848702,18.006839865925492,73592000,2010-07-05
2010-07-07,18.462717056274414,18.477913056450557,17.93846809273054,18.098021747069023,79965300,2010-07-05
2010-07-08,18.546289443969727,18.70584451165447,18.211984761005997,18.690648514890203,50758100,2010-07-05
2010-07-09,18.43992805480957,18.546297178177618,18.34875348537223,18.48551461494293,53806100,2010-07-05
2010-07-12,18.86539649963379,18.910983036816525,18.553885838740307,18.561483836465744,49854200,2010-07-12
2010-07-13,19.093334197998047,19.222497285095677,18.918584565210125,19.100932197141457,61928700,2010-07-12
2010-07-14,19.328868865966797,19.458031960027704,19.085738676951028,19.374455414114696,72808100,2010-07-12
2010-07-15,19.382055282592773,19.442837835707707,18.97936996247486,19.37445728230711,56934700,2010-07-12
2010-07-16,18.910985946655273,19.48082282121503,18.90338794776073,19.382051733926186,65064800,2010-07-12
2010-07-19,19.1693115234375,19.222496064895168,18.92618136296241,18.96416990709787,38181800,2010-07-19
2010-07-20,19.359262466430664,19.359262466430664,18.76663289958655,18.88819801325562,45530700,2010-07-19
2010-07-21,19.085742950439453,19.488426872722933,18.97937238204994,19.45043831562204,73297300,2010-07-19
2010-07-22,19.632776260375977,19.746743324321667,19.351656150084757,19.382048140027525,73016400,2010-07-19
2010-07-23,19.609987258911133,19.76954234837978,19.18450943561176,19.632781257169572,108520100,2010-07-19
2010-07-26,19.8303279876709,19.906306544546506,19.602392317044075,19.647980320671703,67249900,2010-07-26
2010-07-27,19.875911712646484,19.93669425966004,19.723954620527472,19.860715713600538,60672100,2010-07-26
2010-07-28,19.716360092163086,19.89870775190421,19.62518553770733,19.80753319744846,69704800,2010-07-26
2010-07-29,19.777143478393555,20.065860256184724,19.450436697491416,19.853120586274613,69446200,2010-07-26
2010-07-30,19.609987258911133,19.632781257169572,19.260487980636345,19.564400711564467,83534800,2010-07-26
2010-08-02,20.005075454711914,20.043064004388047,19.5644016122855,19.746749259237436,55044600,2010-08-02
2010-08-03,19.875911712646484,20.02027080524252,19.731552620050447,19.906303710738378,56877700,2010-08-02
2010-08-04,19.549209594726562,19.936698966866015,19.328873353218192,19.86831840418431,78531900,2010-08-02
2010-08-05,19.275684356689453,19.435238000110264,19.154117812769,19.36685745316699,64922100,2010-08-02
2010-08-06,19.412446975708008,19.420044976440312,19.009763081089066,19.131328194465027,55982100,2010-08-02
2010-08-09,19.45803451538086,19.54920762365009,19.275686849671974,19.412446512075817,57096500,2010-08-09
2010-08-10,19.047748565673828,19.252890204872212,18.90338947336716,19.24529220536447,87257700,2010-08-09
2010-08-11,18.888200759887695,18.91859131813898,18.66026505173501,18.75143962483022,76746900,2010-08-09
2010-08-12,18.607072830200195,18.751431907702365,18.508301745069286,18.553888288270468,70240500,2010-08-09
2010-08-13,18.538698196411133,18.743839879920515,18.417133076369396,18.500709639837044,45263500,2010-08-09
2010-08-16,18.614669799804688,18.698246332028006,18.462712731975017,18.50830072182592,40909700,2010-08-16
2010-08-17,18.874378204345703,19.065337116766365,18.79035727357321,18.874378204345703,52912600,2010-08-16
2010-08-18,18.958396911621094,19.05769634266731,18.64522447259952,18.851460407633414,46818900,2010-08-16
2010-08-19,18.66814422607422,18.89729434484587,18.492460914321633,18.80563488009758,54064600,2010-08-16
2010-08-20,18.50773811340332,18.637590236834953,18.48482397549834,18.568844909318152,49560100,2010-08-16
2010-08-23,18.545930862426758,18.82091071694249,18.51537673586893,18.668144454856183,51643000,2010-08-23
2010-08-24,18.362613677978516,18.5994023725165,18.332059546089127,18.400804885939056,66522500,2010-08-23
2010-08-25,18.408435821533203,18.500095265570046,18.232754006378755,18.332051980235438,47404800,2010-08-23
2010-08-26,18.19455909729004,18.477178837916725,18.171644967577343,18.400795006106776,49105300,2010-08-23
2010-08-27,18.278579711914062,18.347325008286095,17.95776881447799,18.240387071207223,60939400,2010-08-23
2010-08-30,18.05707550048828,18.194566159734798,18.026522830045156,18.133459361947565,45453100,2010-08-30
2010-08-31,17.927227020263672,18.12582451770088,17.812651933215626,18.026526497432915,66074600,2010-08-30
2010-09-01,18.255678176879883,18.293870846979424,17.980698236670168,18.079996265126184,65235900,2010-08-30
2010-09-02,18.286224365234375,18.293862895934357,18.11054107293635,18.24039318103449,48837100,2010-08-30
2010-09-03,18.55356216430664,18.675775709113157,18.48481686324043,18.51536952099187,64189100,2010-08-30
2010-09-07,18.301502227783203,18.561206476021944,18.270949558114438,18.408440213876236,51928700,2010-09-06
2010-09-08,18.278579711914062,18.484815601030167,18.133450591028623,18.38551619209266,65512400,2010-09-06
